"html5_tags";"cms";"has_analytics";"has_js_jquery";"html5";"server";"id";"cluster"
0.0;"11";"1";"0";"0";"3";342.0;"cluster_2"
0.0;"3";"0";"1";"0";"1";343.0;"cluster_5"
0.0;"9";"1";"1";"0";"3";344.0;"cluster_2"
0.0;"11";"1";"0";"0";"3";345.0;"cluster_2"
0.0;"3";"1";"1";"0";"3";346.0;"cluster_2"
0.0;"1";"1";"1";"0";"1";347.0;"cluster_2"
0.0;"9";"1";"1";"0";"3";348.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";349.0;"cluster_5"
0.013677811550151976;"9";"1";"1";"1";"3";350.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";351.0;"cluster_5"
0.0;"11";"0";"1";"0";"1";352.0;"cluster_5"
0.0;"6";"1";"1";"1";"3";353.0;"cluster_0"
0.0;"11";"0";"0";"0";"3";354.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";355.0;"cluster_5"
0.0;"3";"0";"0";"0";"1";356.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";357.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";358.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";359.0;"cluster_5"
0.0;"11";"0";"0";"0";"1";360.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";361.0;"cluster_2"
0.0;"11";"1";"0";"0";"1";362.0;"cluster_2"
0.0060790273556231;"1";"1";"1";"1";"1";363.0;"cluster_0"
0.0;"11";"1";"1";"0";"1";364.0;"cluster_2"
0.0;"6";"1";"1";"1";"0";365.0;"cluster_0"
0.0060790273556231;"11";"1";"1";"1";"1";366.0;"cluster_0"
0.0;"11";"1";"0";"0";"1";367.0;"cluster_2"
0.0;"11";"1";"1";"0";"3";368.0;"cluster_2"
0.0;"5";"0";"1";"1";"1";369.0;"cluster_7"
0.0;"6";"1";"1";"0";"3";370.0;"cluster_2"
0.0;"9";"1";"0";"0";"3";371.0;"cluster_2"
0.0;"7";"1";"0";"0";"3";372.0;"cluster_2"
